treatment,sub,rep,rfu,time,date,day ,exp.time,exp.date,fluorophore
A,3,3,240765.59,11:04,2/20/17,13,11:01,2/20/17,AMC
E,2,2,241391.26,13:17,2/9/17,2,10:44,2/9/17,AMC
A,1,3,242696,12:16,2/15/17,8,9:58,2/15/17,AMC
A,1,1,244377.95,12:16,2/15/17,8,9:58,2/15/17,AMC
F,2,1,249841.29,12:18,2/22/17,15,9:41,2/22/17,AMC
B,3,3,253826.64,12:20,2/15/17,8,9:58,2/15/17,AMC
D,2,3,253863.9,13:35,2/10/17,3,11:32,2/10/17,AMC
A,1,2,254055.87,12:16,2/15/17,8,9:58,2/15/17,AMC
B,1,2,255123.01,13:07,2/10/17,3,11:32,2/10/17,AMC
A,1,1,256383.25,13:05,2/9/17,2,10:44,2/9/17,AMC
C,2,1,257479.4,12:48,2/9/17,2,10:44,2/9/17,AMC
A,1,3,257889.93,13:05,2/9/17,2,10:44,2/9/17,AMC
F,2,3,258076,12:33,2/22/17,15,9:41,2/22/17,AMC
A,1,2,258355.03,12:19,2/10/17,3,11:32,2/10/17,AMC
B,3,2,258712.6,13:09,2/10/17,3,11:32,2/10/17,AMC
C,2,2,259854.26,12:48,2/9/17,2,10:44,2/9/17,AMC
A,3,2,260857.51,12:23,2/10/17,3,11:32,2/10/17,AMC
E,2,1,261768.31,13:17,2/9/17,2,10:44,2/9/17,AMC
E,2,3,262077.45,13:17,2/9/17,2,10:44,2/9/17,AMC
F,2,2,262455.43,10:35,2/22/17,15,9:41,2/22/17,AMC
D,2,2,264295.75,12:51,2/9/17,2,10:44,2/9/17,AMC
B,2,2,264315.34,12:46,2/9/17,2,10:44,2/9/17,AMC
A,1,2,265025.4,12:20,2/22/17,15,9:41,2/22/17,AMC
B,2,2,265851.5,13:08,2/10/17,3,11:32,2/10/17,AMC
D,2,3,268856.25,12:52,2/9/17,2,10:44,2/9/17,AMC
A,2,3,270763.4,12:08,2/22/17,15,9:41,2/22/17,AMC
B,2,3,271138.25,12:46,2/9/17,2,10:44,2/9/17,AMC
C,2,3,271559.56,12:49,2/9/17,2,10:44,2/9/17,AMC
A,1,3,76101.81,10:08,2/13/17,6,10:08,2/13/17,AMC
F,2,2,279754.06,11:27,2/15/17,8,9:58,2/15/17,AMC
A,2,1,74110.93,10:08,2/13/17,6,10:08,2/13/17,AMC
A,2,2,284868.9,12:20,2/10/17,3,11:32,2/10/17,AMC
A,2,1,285534.9,12:25,2/8/17,1,11:22,2/8/17,AMC
D,2,2,289630.71,13:14,2/8/17,1,11:22,2/8/17,AMC
A,2,2,290369.9,11:13,2/15/17,8,9:58,2/15/17,AMC
D,2,3,291259.81,13:14,2/8/17,1,11:22,2/8/17,AMC
F,2,2,292071.87,12:07,2/20/17,13,11:01,2/20/17,AMC
A,2,1,292848.84,11:12,2/15/17,8,9:58,2/15/17,AMC
E,2,2,295816.84,13:16,2/8/17,1,11:22,2/8/17,AMC
A,2,2,295899.46,12:25,2/8/17,1,11:22,2/8/17,AMC
C,2,1,296653.5,13:11,2/9/17,2,10:44,2/9/17,AMC
C,2,1,297084.06,13:10,2/8/17,1,11:22,2/8/17,AMC
A,3,1,298178.96,9:42,2/22/17,15,9:41,2/22/17,AMC
A,2,3,299258.53,11:13,2/15/17,8,9:58,2/15/17,AMC
B,2,1,299275.56,12:46,2/9/17,2,10:44,2/9/17,AMC
B,1,2,301363.5,13:31,2/10/17,3,11:32,2/10/17,AMC
E,2,1,304842.9,13:16,2/8/17,1,11:22,2/8/17,AMC
C,2,2,305144.96,13:12,2/9/17,2,10:44,2/9/17,AMC
B,3,2,307183.96,13:32,2/10/17,3,11:32,2/10/17,AMC
B,2,2,310877.75,13:31,2/10/17,3,11:32,2/10/17,AMC
F,2,1,311460.09,12:07,2/20/17,13,11:01,2/20/17,AMC
D,2,3,311965.68,13:15,2/9/17,2,10:44,2/9/17,AMC
D,2,2,313734.84,13:14,2/9/17,2,10:44,2/9/17,AMC
D,2,1,313740.93,13:13,2/8/17,1,11:22,2/8/17,AMC
A,2,2,72095.24,10:08,2/13/17,6,10:08,2/13/17,AMC
A,3,3,316988.78,10:37,2/15/17,8,9:58,2/15/17,AMC
C,2,3,318231.5,13:11,2/8/17,1,11:22,2/8/17,AMC
A,3,2,318231.75,11:14,2/15/17,8,9:58,2/15/17,AMC
A,1,1,103562.43,11:11,2/13/17,6,10:08,2/13/17,AMC
A,2,3,322182.5,13:06,2/20/17,13,11:01,2/20/17,AMC
A,2,3,323258.03,12:26,2/8/17,1,11:22,2/8/17,AMC
A,2,2,325855.31,12:08,2/22/17,15,9:41,2/22/17,AMC
C,2,2,326203.46,13:11,2/8/17,1,11:22,2/8/17,AMC
B,2,1,328622.15,13:08,2/8/17,1,11:22,2/8/17,AMC
B,2,3,329151.15,13:08,2/8/17,1,11:22,2/8/17,AMC
B,2,2,332483.21,13:09,2/9/17,2,10:44,2/9/17,AMC
A,2,2,334590.62,11:48,2/9/17,2,10:44,2/9/17,AMC
C,2,3,339331.65,13:12,2/9/17,2,10:44,2/9/17,AMC
A,2,3,344215.93,11:48,2/9/17,2,10:44,2/9/17,AMC
B,2,2,345088.62,13:08,2/8/17,1,11:22,2/8/17,AMC
B,2,3,354619.34,13:09,2/9/17,2,10:44,2/9/17,AMC
A,3,2,355939.71,9:42,2/22/17,15,9:41,2/22/17,AMC
F,2,1,359843.56,12:32,2/22/17,15,9:41,2/22/17,AMC
A,2,1,360790.28,11:48,2/9/17,2,10:44,2/9/17,AMC
A,2,1,362114.09,13:03,2/20/17,13,11:01,2/20/17,AMC
A,2,1,368926.34,12:07,2/22/17,15,9:41,2/22/17,AMC
B,2,1,369710.59,13:09,2/9/17,2,10:44,2/9/17,AMC
F,2,1,370714.03,10:51,2/13/17,6,10:08,2/13/17,AMC
A,2,3,379992.5,12:21,2/22/17,15,9:41,2/22/17,AMC
A,3,3,384438.28,9:43,2/22/17,15,9:41,2/22/17,AMC
A,2,2,388713.81,13:05,2/20/17,13,11:01,2/20/17,AMC
A,3,2,408472.81,13:07,2/10/17,3,11:32,2/10/17,AMC
F,2,1,419600.06,10:45,2/15/17,8,9:58,2/15/17,AMC
F,2,2,424396.87,12:25,2/15/17,8,9:58,2/15/17,AMC
F,2,2,425602.09,12:18,2/22/17,15,9:41,2/22/17,AMC
A,3,1,428894.81,11:34,2/20/17,13,11:01,2/20/17,AMC
F,1,2,436113.93,12:34,2/10/17,3,11:32,2/10/17,AMC
A,1,2,438982.31,13:05,2/10/17,3,11:32,2/10/17,AMC
A,2,2,455710,12:21,2/22/17,15,9:41,2/22/17,AMC
A,2,2,456122,13:06,2/10/17,3,11:32,2/10/17,AMC
A,2,1,463593.75,12:17,2/15/17,8,9:58,2/15/17,AMC
F,2,2,465121.96,13:12,2/20/17,13,11:01,2/20/17,AMC
A,2,3,483306.59,12:18,2/15/17,8,9:58,2/15/17,AMC
A,2,1,495869.06,12:20,2/22/17,15,9:41,2/22/17,AMC
A,3,2,504512.78,13:30,2/10/17,3,11:32,2/10/17,AMC
A,3,3,512011.46,11:14,2/15/17,8,9:58,2/15/17,AMC
A,2,2,513267.28,13:29,2/10/17,3,11:32,2/10/17,AMC
A,3,2,513977.21,12:18,2/15/17,8,9:58,2/15/17,AMC
A,1,2,514980.78,13:29,2/10/17,3,11:32,2/10/17,AMC
A,2,1,525409.12,13:06,2/8/17,1,11:22,2/8/17,AMC
F,2,1,547681.25,13:11,2/20/17,13,11:01,2/20/17,AMC
A,2,2,552445.43,13:06,2/8/17,1,11:22,2/8/17,AMC
A,2,3,565343.87,12:44,2/9/17,2,10:44,2/9/17,AMC
A,2,3,583227.81,13:06,2/8/17,1,11:22,2/8/17,AMC
F,2,2,587890.37,12:32,2/22/17,15,9:41,2/22/17,AMC
A,2,2,593324.56,12:44,2/9/17,2,10:44,2/9/17,AMC
A,2,1,656081.56,12:43,2/9/17,2,10:44,2/9/17,AMC
F,1,2,656658.43,13:16,2/10/17,3,11:32,2/10/17,AMC
A,3,1,669935.56,12:02,2/20/17,13,11:01,2/20/17,AMC
A,2,2,679760.18,13:06,2/9/17,2,10:44,2/9/17,AMC
A,2,3,694750.87,13:06,2/9/17,2,10:44,2/9/17,AMC
F,1,2,708384.5,13:38,2/10/17,3,11:32,2/10/17,AMC
A,2,1,775030.62,13:06,2/9/17,2,10:44,2/9/17,AMC
C,1,3,814433.63,11:52,2/9/17,2,10:44,2/9/17,AMC
F,2,1,827550.5,11:26,2/15/17,8,9:58,2/15/17,AMC
A,3,2,882078.56,11:35,2/20/17,13,11:01,2/20/17,AMC
A,3,3,913124.37,12:18,2/15/17,8,9:58,2/15/17,AMC
F,2,1,996879.81,12:16,2/13/17,6,10:08,2/13/17,AMC
A,3,3,1035790,11:35,2/20/17,13,11:01,2/20/17,AMC
D,3,1,1335037.65,12:13,2/13/17,6,10:08,2/13/17,AMC
A,3,1,1363676.87,13:05,2/20/17,13,11:01,2/20/17,AMC
A,3,2,1501175.5,12:02,2/20/17,13,11:01,2/20/17,AMC
A,3,2,1747626.37,10:31,2/22/17,15,9:41,2/22/17,AMC
A,3,3,1749969,12:02,2/20/17,13,11:01,2/20/17,AMC
A,3,3,1878295.12,10:31,2/22/17,15,9:41,2/22/17,AMC
A,3,1,3026548.28,12:07,2/22/17,15,9:41,2/22/17,AMC
A,3,2,3725841,13:05,2/20/17,13,11:01,2/20/17,AMC
A,3,2,4084513,12:08,2/22/17,15,9:41,2/22/17,AMC
A,3,3,4578290.5,12:09,2/22/17,15,9:41,2/22/17,AMC
A,3,3,4653230.5,13:06,2/20/17,13,11:01,2/20/17,AMC
A,3,1,5430097.5,12:20,2/22/17,15,9:41,2/22/17,AMC
A,3,2,8972068,12:21,2/22/17,15,9:41,2/22/17,AMC
A,3,3,9349542,12:22,2/22/17,15,9:41,2/22/17,AMC
A,2,2,465763.75,12:17,2/15/17,8,9:58,2/15/17,AMC
A,1,2,93188.32,9:59,3/1/17,22,9:59,3/1/17,AMC
A,1,3,88036.07,10:00,3/1/17,22,9:59,3/1/17,AMC
A,2,1,77619.58,10:00,3/1/17,22,9:59,3/1/17,AMC
A,2,2,122308.33,10:00,3/1/17,22,9:59,3/1/17,AMC
A,2,3,136996.6,10:00,3/1/17,22,9:59,3/1/17,AMC
A,3,1,142764.29,10:01,3/1/17,22,9:59,3/1/17,AMC
A,3,2,324263.21,10:01,3/1/17,22,9:59,3/1/17,AMC
A,3,3,275242.87,10:01,3/1/17,22,9:59,3/1/17,AMC
B,1,1,64583.88,10:01,3/1/17,22,9:59,3/1/17,AMC
B,1,2,65827.6,10:02,3/1/17,22,9:59,3/1/17,AMC
B,1,3,63718.64,10:02,3/1/17,22,9:59,3/1/17,AMC
B,2,1,61206.79,10:02,3/1/17,22,9:59,3/1/17,AMC
B,2,2,56376.8,10:02,3/1/17,22,9:59,3/1/17,AMC
B,2,3,57015.24,10:03,3/1/17,22,9:59,3/1/17,AMC
B,3,1,97887.93,10:03,3/1/17,22,9:59,3/1/17,AMC
B,3,2,104474.58,10:03,3/1/17,22,9:59,3/1/17,AMC
B,3,3,106056,10:03,3/1/17,22,9:59,3/1/17,AMC
C,1,1,65589.59,10:03,3/1/17,22,9:59,3/1/17,AMC
C,1,2,55598.35,10:04,3/1/17,22,9:59,3/1/17,AMC
C,1,3,56183.88,10:04,3/1/17,22,9:59,3/1/17,AMC
C,2,1,61192.04,10:04,3/1/17,22,9:59,3/1/17,AMC
C,2,2,60272.03,10:04,3/1/17,22,9:59,3/1/17,AMC
C,2,3,54481.86,10:04,3/1/17,22,9:59,3/1/17,AMC
C,3,1,109432.75,10:04,3/1/17,22,9:59,3/1/17,AMC
C,3,2,90652.6,10:04,3/1/17,22,9:59,3/1/17,AMC
C,3,3,110265.71,10:04,3/1/17,22,9:59,3/1/17,AMC
D,1,1,55124.18,10:05,3/1/17,22,9:59,3/1/17,AMC
D,1,2,53938.09,10:05,3/1/17,22,9:59,3/1/17,AMC
D,1,3,54175.32,10:05,3/1/17,22,9:59,3/1/17,AMC
D,2,1,59414.36,10:05,3/1/17,22,9:59,3/1/17,AMC
D,2,2,56837.07,10:05,3/1/17,22,9:59,3/1/17,AMC
D,2,3,60207,10:05,3/1/17,22,9:59,3/1/17,AMC
D,3,1,117636.56,10:05,3/1/17,22,9:59,3/1/17,AMC
D,3,2,130398.55,10:06,3/1/17,22,9:59,3/1/17,AMC
D,3,3,101514.98,10:06,3/1/17,22,9:59,3/1/17,AMC
E,1,1,64013.51,10:06,3/1/17,22,9:59,3/1/17,AMC
E,1,2,62971.82,10:06,3/1/17,22,9:59,3/1/17,AMC
E,1,3,64355.8,10:06,3/1/17,22,9:59,3/1/17,AMC
E,2,1,56979.07,10:06,3/1/17,22,9:59,3/1/17,AMC
E,2,2,58423.38,10:06,3/1/17,22,9:59,3/1/17,AMC
E,2,3,58317.21,10:06,3/1/17,22,9:59,3/1/17,AMC
E,3,1,103363.54,10:07,3/1/17,22,9:59,3/1/17,AMC
E,3,2,102363.08,10:07,3/1/17,22,9:59,3/1/17,AMC
E,3,3,106882.59,10:07,3/1/17,22,9:59,3/1/17,AMC
F,1,1,65820.45,10:07,3/1/17,22,9:59,3/1/17,AMC
F,1,2,61792.64,10:07,3/1/17,22,9:59,3/1/17,AMC
F,1,3,69210.11,10:07,3/1/17,22,9:59,3/1/17,AMC
F,2,1,65580.22,10:08,3/1/17,22,9:59,3/1/17,AMC
F,2,2,91319.87,10:08,3/1/17,22,9:59,3/1/17,AMC
F,2,3,71387.87,10:08,3/1/17,22,9:59,3/1/17,AMC
F,3,1,102968.97,10:08,3/1/17,22,9:59,3/1/17,AMC
F,3,2,97799.32,10:08,3/1/17,22,9:59,3/1/17,AMC
F,3,3,95491.89,10:08,3/1/17,22,9:59,3/1/17,AMC
A,1,1,100060.2,10:45,3/1/17,22,9:59,3/1/17,AMC
A,1,2,200245.98,10:45,3/1/17,22,9:59,3/1/17,AMC
A,1,3,167585.92,10:45,3/1/17,22,9:59,3/1/17,AMC
A,2,1,177119.42,10:46,3/1/17,22,9:59,3/1/17,AMC
A,2,2,396847.4,10:46,3/1/17,22,9:59,3/1/17,AMC
A,2,3,399697.87,10:46,3/1/17,22,9:59,3/1/17,AMC
A,3,1,426201.06,10:46,3/1/17,22,9:59,3/1/17,AMC
A,3,2,1928908.75,10:46,3/1/17,22,9:59,3/1/17,AMC
A,3,3,1421484.5,10:46,3/1/17,22,9:59,3/1/17,AMC
B,1,1,65582.35,10:46,3/1/17,22,9:59,3/1/17,AMC
B,1,2,67412.46,10:46,3/1/17,22,9:59,3/1/17,AMC
B,1,3,65181.72,10:47,3/1/17,22,9:59,3/1/17,AMC
B,2,1,75345.94,10:47,3/1/17,22,9:59,3/1/17,AMC
B,2,2,67577.28,10:47,3/1/17,22,9:59,3/1/17,AMC
B,2,3,67526.04,10:47,3/1/17,22,9:59,3/1/17,AMC
B,3,1,103612.4,10:47,3/1/17,22,9:59,3/1/17,AMC
B,3,2,109879.36,10:47,3/1/17,22,9:59,3/1/17,AMC
B,3,3,111069.12,10:47,3/1/17,22,9:59,3/1/17,AMC
C,1,1,67739.96,10:48,3/1/17,22,9:59,3/1/17,AMC
C,1,2,58194.44,10:48,3/1/17,22,9:59,3/1/17,AMC
C,1,3,58106.15,10:48,3/1/17,22,9:59,3/1/17,AMC
C,2,1,68972.51,10:48,3/1/17,22,9:59,3/1/17,AMC
C,2,2,70276.78,10:48,3/1/17,22,9:59,3/1/17,AMC
C,2,3,64107.89,10:48,3/1/17,22,9:59,3/1/17,AMC
C,3,1,121126.42,10:48,3/1/17,22,9:59,3/1/17,AMC
C,3,2,93019.29,10:48,3/1/17,22,9:59,3/1/17,AMC
C,3,3,114233.18,10:48,3/1/17,22,9:59,3/1/17,AMC
D,1,1,56569.7,10:48,3/1/17,22,9:59,3/1/17,AMC
D,1,2,56034.46,10:49,3/1/17,22,9:59,3/1/17,AMC
D,1,3,56126.79,10:49,3/1/17,22,9:59,3/1/17,AMC
D,2,1,67396.88,10:49,3/1/17,22,9:59,3/1/17,AMC
D,2,2,67396.87,10:49,3/1/17,22,9:59,3/1/17,AMC
D,2,3,69142.94,10:49,3/1/17,22,9:59,3/1/17,AMC
D,3,1,119020.07,10:49,3/1/17,22,9:59,3/1/17,AMC
D,3,2,297909.78,10:49,3/1/17,22,9:59,3/1/17,AMC
D,3,3,103034.06,10:49,3/1/17,22,9:59,3/1/17,AMC
E,1,1,65485.55,10:49,3/1/17,22,9:59,3/1/17,AMC
E,1,2,64931.41,10:50,3/1/17,22,9:59,3/1/17,AMC
E,1,3,65952.98,10:50,3/1/17,22,9:59,3/1/17,AMC
E,2,1,62434.36,10:50,3/1/17,22,9:59,3/1/17,AMC
E,2,2,65781.99,10:50,3/1/17,22,9:59,3/1/17,AMC
E,2,3,65094.32,10:50,3/1/17,22,9:59,3/1/17,AMC
E,3,1,103885.5,10:50,3/1/17,22,9:59,3/1/17,AMC
E,3,2,103520.9,10:51,3/1/17,22,9:59,3/1/17,AMC
E,3,3,107433.66,10:51,3/1/17,22,9:59,3/1/17,AMC
F,1,1,71357.05,10:51,3/1/17,22,9:59,3/1/17,AMC
F,1,2,77939.53,10:51,3/1/17,22,9:59,3/1/17,AMC
F,1,3,84394.94,10:51,3/1/17,22,9:59,3/1/17,AMC
F,2,1,102284.47,10:51,3/1/17,22,9:59,3/1/17,AMC
F,2,2,200509.4,10:51,3/1/17,22,9:59,3/1/17,AMC
F,2,3,122471.57,10:51,3/1/17,22,9:59,3/1/17,AMC
F,3,1,104379.7,10:51,3/1/17,22,9:59,3/1/17,AMC
F,3,2,101666.81,10:51,3/1/17,22,9:59,3/1/17,AMC
F,3,3,98842.76,10:51,3/1/17,22,9:59,3/1/17,AMC
A,1,1,127834.56,11:22,3/1/17,22,9:59,3/1/17,AMC
A,1,2,295976.75,11:22,3/1/17,22,9:59,3/1/17,AMC
A,1,3,248492.87,11:22,3/1/17,22,9:59,3/1/17,AMC
A,2,1,294173.09,11:22,3/1/17,22,9:59,3/1/17,AMC
A,2,2,704500.56,11:22,3/1/17,22,9:59,3/1/17,AMC
A,2,3,724378,11:22,3/1/17,22,9:59,3/1/17,AMC
A,3,1,709858.43,11:22,3/1/17,22,9:59,3/1/17,AMC
A,3,2,4198091.5,11:22,3/1/17,22,9:59,3/1/17,AMC
A,3,3,2862482.5,11:23,3/1/17,22,9:59,3/1/17,AMC
B,1,1,68783.32,11:23,3/1/17,22,9:59,3/1/17,AMC
B,1,2,70201.18,11:23,3/1/17,22,9:59,3/1/17,AMC
B,1,3,68201.66,11:23,3/1/17,22,9:59,3/1/17,AMC
B,2,1,90476.44,11:23,3/1/17,22,9:59,3/1/17,AMC
B,2,2,78499.53,11:23,3/1/17,22,9:59,3/1/17,AMC
B,2,3,78499.35,11:23,3/1/17,22,9:59,3/1/17,AMC
B,3,1,116721.43,11:23,3/1/17,22,9:59,3/1/17,AMC
B,3,2,114856.35,11:24,3/1/17,22,9:59,3/1/17,AMC
B,3,3,117104.56,11:24,3/1/17,22,9:59,3/1/17,AMC
C,1,1,70464.5,11:24,3/1/17,22,9:59,3/1/17,AMC
C,1,2,60922.66,11:24,3/1/17,22,9:59,3/1/17,AMC
C,1,3,59820.66,11:24,3/1/17,22,9:59,3/1/17,AMC
C,2,1,75553.3,11:24,3/1/17,22,9:59,3/1/17,AMC
C,2,2,80771.43,11:24,3/1/17,22,9:59,3/1/17,AMC
C,2,3,73728.28,11:24,3/1/17,22,9:59,3/1/17,AMC
C,3,1,132411.03,11:25,3/1/17,22,9:59,3/1/17,AMC
C,3,2,95927.13,11:25,3/1/17,22,9:59,3/1/17,AMC
C,3,3,118000.03,11:25,3/1/17,22,9:59,3/1/17,AMC
D,1,1,58415.69,11:25,3/1/17,22,9:59,3/1/17,AMC
D,1,2,56877.46,11:25,3/1/17,22,9:59,3/1/17,AMC
D,1,3,58264.41,11:25,3/1/17,22,9:59,3/1/17,AMC
D,2,1,74868.93,11:25,3/1/17,22,9:59,3/1/17,AMC
D,2,2,66192.63,11:26,3/1/17,22,9:59,3/1/17,AMC
D,2,3,77583.15,11:26,3/1/17,22,9:59,3/1/17,AMC
D,3,1,121649.61,11:26,3/1/17,22,9:59,3/1/17,AMC
D,3,2,1240261.5,11:26,3/1/17,22,9:59,3/1/17,AMC
D,3,3,104843.07,11:27,3/1/17,22,9:59,3/1/17,AMC
E,1,1,68024.24,11:27,3/1/17,22,9:59,3/1/17,AMC
E,1,2,67389.362,11:27,3/1/17,22,9:59,3/1/17,AMC
E,1,3,62927.82,11:27,3/1/17,22,9:59,3/1/17,AMC
E,2,1,67901.57,11:28,3/1/17,22,9:59,3/1/17,AMC
E,2,2,73313.76,11:28,3/1/17,22,9:59,3/1/17,AMC
E,2,3,71498.03,11:28,3/1/17,22,9:59,3/1/17,AMC
E,3,1,104697.75,11:28,3/1/17,22,9:59,3/1/17,AMC
E,3,2,104244.66,11:28,3/1/17,22,9:59,3/1/17,AMC
E,3,3,108433.71,11:29,3/1/17,22,9:59,3/1/17,AMC
F,1,1,76325.98,11:29,3/1/17,22,9:59,3/1/17,AMC
F,1,2,95246.36,11:29,3/1/17,22,9:59,3/1/17,AMC
F,1,3,98224.43,11:30,3/1/17,22,9:59,3/1/17,AMC
F,2,1,130302.39,11:30,3/1/17,22,9:59,3/1/17,AMC
F,2,2,305012.62,11:30,3/1/17,22,9:59,3/1/17,AMC
F,2,3,168999.81,11:31,3/1/17,22,9:59,3/1/17,AMC
F,3,1,105467.96,11:31,3/1/17,22,9:59,3/1/17,AMC
F,3,2,105483.59,11:31,3/1/17,22,9:59,3/1/17,AMC
F,3,3,101929.38,11:32,3/1/17,22,9:59,3/1/17,AMC
A,1,1,147782.9,11:48,3/1/17,22,9:59,3/1/17,AMC
A,1,2,363089.65,11:48,3/1/17,22,9:59,3/1/17,AMC
A,1,3,311002.65,11:48,3/1/17,22,9:59,3/1/17,AMC
A,2,1,370426.06,11:48,3/1/17,22,9:59,3/1/17,AMC
A,2,2,899112.68,11:48,3/1/17,22,9:59,3/1/17,AMC
A,2,3,1004978.12,11:48,3/1/17,22,9:59,3/1/17,AMC
A,3,1,931940.56,11:49,3/1/17,22,9:59,3/1/17,AMC
A,3,2,7288453.5,11:49,3/1/17,22,9:59,3/1/17,AMC
A,3,3,4160654,11:49,3/1/17,22,9:59,3/1/17,AMC
B,1,1,70110.78,11:49,3/1/17,22,9:59,3/1/17,AMC
B,1,2,72286.57,11:50,3/1/17,22,9:59,3/1/17,AMC
B,1,3,69987.54,11:50,3/1/17,22,9:59,3/1/17,AMC
B,2,1,108454.26,11:50,3/1/17,22,9:59,3/1/17,AMC
B,2,2,88699.03,11:50,3/1/17,22,9:59,3/1/17,AMC
B,2,3,86017.93,11:51,3/1/17,22,9:59,3/1/17,AMC
B,3,1,120342.83,11:51,3/1/17,22,9:59,3/1/17,AMC
B,3,2,118829.29,11:51,3/1/17,22,9:59,3/1/17,AMC
B,3,3,120342.83,11:51,3/1/17,22,9:59,3/1/17,AMC
C,1,1,72291.67,11:52,3/1/17,22,9:59,3/1/17,AMC
C,1,2,62000.41,11:52,3/1/17,22,9:59,3/1/17,AMC
C,1,3,61192.22,11:52,3/1/17,22,9:59,3/1/17,AMC
C,2,1,80706.29,11:52,3/1/17,22,9:59,3/1/17,AMC
C,2,2,87666.71,11:52,3/1/17,22,9:59,3/1/17,AMC
C,2,3,78888.44,11:52,3/1/17,22,9:59,3/1/17,AMC
C,3,1,139637,11:53,3/1/17,22,9:59,3/1/17,AMC
C,3,2,98486.03,11:53,3/1/17,22,9:59,3/1/17,AMC
C,3,3,121252.4,11:53,3/1/17,22,9:59,3/1/17,AMC
D,1,1,59349.32,11:53,3/1/17,22,9:59,3/1/17,AMC
D,1,2,57474,11:53,3/1/17,22,9:59,3/1/17,AMC
D,1,3,59379.75,11:53,3/1/17,22,9:59,3/1/17,AMC
D,2,1,80592.09,11:53,3/1/17,22,9:59,3/1/17,AMC
D,2,2,69149.37,11:53,3/1/17,22,9:59,3/1/17,AMC
D,2,3,83789.53,11:54,3/1/17,22,9:59,3/1/17,AMC
D,3,1,123556.91,11:54,3/1/17,22,9:59,3/1/17,AMC
D,3,2,2843066.25,11:54,3/1/17,22,9:59,3/1/17,AMC
D,3,3,105435.21,11:54,3/1/17,22,9:59,3/1/17,AMC
E,1,1,68320.98,11:54,3/1/17,22,9:59,3/1/17,AMC
E,1,2,68709.65,11:54,3/1/17,22,9:59,3/1/17,AMC
E,1,3,68823.35,11:54,3/1/17,22,9:59,3/1/17,AMC
E,2,1,71528.02,11:55,3/1/17,22,9:59,3/1/17,AMC
E,2,2,78460.05,11:55,3/1/17,22,9:59,3/1/17,AMC
E,2,3,75733.88,11:55,3/1/17,22,9:59,3/1/17,AMC
E,3,1,104955.06,11:55,3/1/17,22,9:59,3/1/17,AMC
E,3,2,104733.64,11:55,3/1/17,22,9:59,3/1/17,AMC
E,3,3,107950.45,11:55,3/1/17,22,9:59,3/1/17,AMC
F,1,1,81708.5,11:55,3/1/17,22,9:59,3/1/17,AMC
F,1,2,105377.94,11:55,3/1/17,22,9:59,3/1/17,AMC
F,1,3,107774.08,11:56,3/1/17,22,9:59,3/1/17,AMC
F,2,1,153608.12,11:56,3/1/17,22,9:59,3/1/17,AMC
F,2,2,107526.57,11:56,3/1/17,22,9:59,3/1/17,AMC
F,2,3,368304.25,11:56,3/1/17,22,9:59,3/1/17,AMC
F,3,1,107624.11,11:56,3/1/17,22,9:59,3/1/17,AMC
F,3,2,105240.61,11:56,3/1/17,22,9:59,3/1/17,AMC
F,3,3,104497.54,11:56,3/1/17,22,9:59,3/1/17,AMC